**********************************************************************

Tue Feb 24 2026 03:12:09 GMT+0000 (Coordinated Universal Time)
Communal Hallucinations - Banana Boys Chat
DM, Gordon, Jimothy, Elysium

Transcribed by SeaVoice: https://suite.seasalt.ai/voice/discord

**********************************************************************

00:00:03,100-00:00:04,130 DM:  Ah. theres still. 
00:18:22,658-00:18:23,648 DM:  So this is? 
00:18:22,746-00:18:25,936 Jimothy:  Okay, then, in that case, I very much would like a D. M intervention like. 
00:18:23,758-00:18:31,148 DM:  Ah, this is a. very. Let me, emphasize, this is a very grave scenario, He has lost you once before, and he? 
00:18:31,980-00:18:33,688 DM:  He does not want to lose you again and. 
00:18:33,684-00:18:34,514 DM:  And he? 
00:18:35,497-00:18:36,447 DM:  And going to take his time. 
00:18:37,185-00:18:37,335 Jimothy:  Yeah.  
00:18:38,328-00:18:39,998 Jimothy:  Yeah. okay, then, in that case. 
00:18:45,251-00:18:59,410 Elysium:  I will say well, I will say this that, if this does turn out that way then, under absolutely zero circumstances ever again in the future, you're allowed to go off and do anything that impacts the party on your own in solo sessions, as you have done in the past. 
00:18:46,560-00:18:46,710 Jimothy:  Yeah.  
00:18:49,295-00:18:55,925 Gordon:  Okay. like its about to be pretty more entertaining for me and Sean to watch you take the shots, though, then, youre about to have fun, so. 
00:18:54,336-00:18:54,486 Gordon:  Okay.  
00:18:58,780-00:18:59,810 DM:  I do feel. 
00:19:00,155-00:19:02,705 DM:  Like there should be some kind of a compromise because. 
00:19:03,824-00:19:03,974 DM:  Ah.  
00:19:04,713-00:19:27,783 DM:  Ah. you do separate from the group ive Ive hammered down on this a few times the majority of player deaths happen when you separate the party, so that, is a background threat Every time you guys separate, add in trying to be sneaky add in trying to be sneaky against people who you know want to kill you? Add in trying to be sneaky against people who want to kill you when they have already identified you as who you are and they have snipers on you. 
00:19:13,271-00:19:13,581 Jimothy:  Yeah. ya.  
00:19:28,919-00:19:33,549 DM:  So add in all those extra layers of threats, and it was a very dangerous move to cast that spell. 
00:19:29,161-00:19:29,311 Jimothy:  Okay.  
00:19:34,595-00:19:35,785 DM:  Um. why after? 
00:19:34,684-00:19:34,834 DM:  Um.  
00:19:35,747-00:19:39,617 DM:  After I say that, there's a couple different options here we can.  
00:19:40,704-00:19:47,534 DM:  Can try to do. I don't like the idea of doing a mulligan, where we just reroll everything i dont want to do that. thats just too much. 
00:19:48,238-00:19:55,948 DM:  But there is the intervention where jimothys, life can be preserved, but there will still be consequences of what has just happened? 
00:20:02,189-00:20:02,339 DM:  Which?  
00:20:02,223-00:20:04,773 Jimothy:  Okay. you said that there were options. what are the options? 
00:20:03,476-00:20:17,706 DM:  Which? so option one, which I am very sternly against is just calling a mulligan and redoing it. In fact, I'm like, very, very much, not a fan of it, and i would want everybody to be completely on board if we were to do that because that's. 
00:20:17,868-00:20:19,298 DM:  That's just rough then. 
00:20:20,996-00:20:26,986 DM:  Two would be Dm intervention where something is going to happen where jimothy is going to be preserved and saved. 
00:20:27,888-00:20:33,780 DM:  But the game continues on with consequences of what just happened, What just happened happened. 
00:20:33,229-00:20:37,219 DM:  But Jimothy need not be captured as a result of it that I. 
00:20:37,698-00:20:39,768 DM:  Find much more palatable and full.  
00:20:41,232-00:20:41,382 DM:  Mulligan.  
00:20:42,479-00:20:42,629 DM:  Mulligan.  
00:20:43,193-00:20:44,823 DM:  Mulligan. other one is that we just play it. 
00:20:45,798-00:20:46,108 DM:  And we? 
00:20:47,397-00:20:49,947 DM:  And do the roles and figure out what happens to Jimothy? 
00:20:52,717-00:20:52,867 Jimothy:  Okay.  
00:20:53,326-00:20:53,476 Jimothy:  Okay.  
00:20:54,546-00:20:54,696 Jimothy:  Okay.  
00:20:54,845-00:20:56,675 Jimothy:  Okay. my.  
00:20:57,373-00:21:01,483 Jimothy:  Okay. my. is to not play it, because thats what we were just talking about? Um? 
00:21:01,849-00:21:03,399 Jimothy:  And I will say I. 
00:21:02,282-00:21:02,432 DM:  Mmh.  
00:21:03,558-00:21:08,628 Jimothy:  Like I said this entire time, i didnt want to go off on my own like I, we had. 
00:21:08,904-00:21:11,174 Elysium:  You dont have to you make your own decisions, though man. 
00:21:09,881-00:21:10,310 Jimothy:  Talked.  
00:21:10,884-00:21:11,234 Jimothy:  Talked. i.  
00:21:11,586-00:21:12,336 DM:  Mmh. this.  
00:21:11,630-00:21:17,133 Jimothy:  Talked. i. i know, but Im. oh, hold on, let me just explain myself so like. 
00:21:13,612-00:21:16,602 DM:  Mmh. this. is also like Go ahead, Go ahead, Go ahead. 
00:21:18,352-00:21:24,422 Jimothy:  I. trying to be a team player and investigate this thing because it happened, and you know we were like Okay, Have some. 
00:21:18,506-00:21:18,656 Jimothy:  I.  
00:21:24,636-00:21:30,506 Jimothy:  Go off and then I was like okay, ill volunteer Jimothy, because hes good at like being sneaky, so that thats that. 
00:21:31,197-00:21:31,347 DM:  Mm.  
00:21:31,715-00:21:38,305 Jimothy:  Thats why I did this. It wasn't because I wanted to go off and like, be a hero on my own like that's not i wanted to do, but anyway.  
00:21:37,510-00:21:40,580 DM:  Mm. you took taking the risk with that as well, yeah. 
00:21:40,669-00:21:40,819 Jimothy:  Yes.  
00:21:42,580-00:21:44,210 Jimothy:  Yes. i if. 
00:21:45,720-00:21:47,742 Jimothy:  If Id known this was the risk Eric, I wouldnt have taken it. 
00:21:48,353-00:21:50,823 DM:  You had a sniper on you, and you had. 
00:21:48,822-00:21:50,452 Jimothy:  You know, so like I like.  
00:21:49,880-00:21:50,470 Elysium:  I mean. 
00:21:51,446-00:21:52,356 Jimothy:  Yeah. you keep. 
00:21:51,580-00:21:51,730 Jimothy:  Yeah.  
00:21:51,982-00:21:52,772 DM:  Had multiple cards. 
00:21:52,370-00:21:58,440 Jimothy:  Repeating that, but like if I had known the risk, obviously, I wouldn't have done it so like i didn't understand that. Um, but.  
00:21:57,701-00:21:58,491 DM:  But its.  
00:21:57,721-00:21:57,871 DM:  But  
00:21:59,326-00:21:59,476 Jimothy:  But  
00:22:00,113-00:22:10,343 DM:  But its. add on to that its a rule that I try to adhere to that, if a character ever does die, It is in relation to decisions made, and this definitely falls underneath that umbrella 100%  
00:22:01,172-00:22:01,322 Jimothy:  But  
00:22:01,220-00:22:01,172 Jimothy:  But  
00:22:11,389-00:22:11,939 DM:  But continue. 
00:22:14,701-00:22:15,491 Jimothy:  But so?  
00:22:16,806-00:22:16,956 Jimothy:  Um.  
00:22:17,994-00:22:22,144 Jimothy:  Um. so, with all that said, obviously i dont want to go through with how. 
00:22:22,995-00:22:24,650 Jimothy:  How it is right now? 
00:22:25,149-00:22:33,779 Jimothy:  Um, honestly, my preference would be the mulligan, because I think option two that you described with consequences would have a broader effect on the party. 
00:22:33,737-00:22:34,727 Jimothy:  Um, and? 
00:22:35,773-00:22:35,923 Jimothy:  And?  
00:22:36,589-00:22:39,499 Jimothy:  And? the other things that we were trying to accomplish and? 
00:22:40,467-00:22:40,777 Jimothy:  It would. 
00:22:41,551-00:22:43,261 Jimothy:  It alert them to. 
00:22:44,327-00:22:47,237 Jimothy:  Banana Boy involvement with the deluge right now. 
00:22:48,670-00:22:48,217 Jimothy:  Which?  
00:22:48,733-00:22:48,883 DM:  Unk.  
00:22:49,888-00:22:55,438 Jimothy:  Which? totally destroy everything that we were trying to do because the the grudgebreaker isn't getting there for another few days, so. 
00:22:54,804-00:22:54,954 DM:  Unk.  
00:22:55,184-00:23:00,734 DM:  Unk. that he knew exactly who you were theres a possibility he already knows about? 
00:23:02,137-00:23:03,287 DM:  The Banana Boys involvement. 
00:23:04,110-00:23:11,340 Elysium:  And theres ill say, theres also no guarantee that he has the support of the rest of the people behind him doing this. 
00:23:12,914-00:23:25,744 DM:  So this happening is not going to upturn the entire storyline, if thats what youre worried about? I mean, sure, its going to add some interesting elements to it, but its not going to ruin the game, theres no such thing as that. 
00:23:28,434-00:23:28,944 DM:  But yeah? 
00:23:29,295-00:23:30,245 DM:  Okay, So? 
00:23:29,349-00:23:30,219 Jimothy:  Okay, all right. 
00:23:30,999-00:23:33,589 Jimothy:  Look if thats the case, Im totally fine with going with option two. 
00:23:31,359-00:23:31,509 DM:  So?  
00:23:33,473-00:23:34,383 DM:  So? every.  
00:23:33,569-00:23:33,719 DM:  So?  
00:23:37,710-00:23:38,541 DM:  How do we feel after all this discussion? 
00:23:39,444-00:23:40,474 DM:  This is a. 
00:23:41,681-00:23:43,791 DM:  A mind check of how. 
00:23:44,472-00:23:45,102 DM:  Everyones feeling. 
00:23:46,750-00:23:46,900 DM:  Let.  
00:23:48,360-00:23:49,426 DM:  Let. with Sean, Sean, how you feeling?  
00:23:52,970-00:23:53,800 Elysium:  Lets see. 
00:23:54,849-00:23:55,159 Jimothy:  By the. 
00:23:56,524-00:23:59,514 Jimothy:  Quick question, Eric. who is the Spaniard dude? 
00:24:00,741-00:24:01,891 Jimothy:  I was talking to. 
00:24:01,256-00:24:01,406 Elysium:  Just.  
00:24:02,295-00:24:04,805 DM:  He is a whistlebrush brigand. you can. 
00:24:04,761-00:24:09,271 DM:  You can, you can talk to him later. If you want, maybe youll see him at the bar. you can ask him his name. Hey, you, Sn. 
00:24:09,792-00:24:09,942 DM:  Snitchy.  
00:24:11,633-00:24:12,463 DM:  Snitchy. got a? 
00:24:12,959-00:24:13,109 Jimothy:  Yeah.  
00:24:13,469-00:24:14,379 DM:  Score to settle. 
00:24:13,650-00:24:13,215 Jimothy:  Yeah.  
00:24:14,424-00:24:16,614 Elysium:  Just. hes a brigand that we havent come across before. 
00:24:18,821-00:24:21,571 DM:  Okay, and also just add in being it. 
00:24:21,596-00:24:35,826 DM:  It comes with the nature of being a chaotic character, that chaos happens to you, and this is a byproduct of chaos is potentially dying or getting hurt or something misadventure coming up. So what play to his character ride? 
00:24:36,930-00:24:37,123 DM:  On and? 
00:24:38,383-00:24:42,213 Jimothy:  Yeah. weve already established were not going with it, you dont have to keep selling it. 
00:24:38,550-00:24:38,700 DM:  And?  
00:24:40,216-00:24:40,366 Elysium:  Okay.  
00:24:40,502-00:24:49,292 DM:  And? know, but don't don't let this reflect on you Don't feel like you, Matt Moore had made a mistake, you played the character. The character did what the character does.  
00:24:40,516-00:24:41,346 Elysium:  Okay. so?  
00:24:41,791-00:24:41,941 Elysium:  So?  
00:24:50,292-00:24:52,482 DM:  This. going to be his faiths, Okay?  
00:24:50,390-00:24:50,540 DM:  This.  
00:24:50,463-00:24:51,733 Jimothy:  Yes, I understand. 
00:24:53,186-00:24:57,696 Elysium:  So? and you can never play a perfect game when its not a solo game. 
00:24:54,483-00:24:55,473 Jimothy:  No longer, though. 
00:24:58,951-00:25:00,461 DM:  Right, okay, Sean? 
00:25:01,114-00:25:09,640 Elysium:  I said you cannot play a perfect game when its not a solo person game, So theyll try to dont always try to figure out the perfect solution to everything.  
00:25:04,484-00:25:04,634 DM:  Yeah.  
00:25:05,393-00:25:07,183 DM:  Yeah. not winning D and D. 
00:25:10,664-00:25:10,814 Jimothy:  Yeah.  
00:25:11,195-00:25:11,345 DM:  Okay.  
00:25:11,542-00:25:14,132 Jimothy:  Yeah. i wasnt I wasnt trying to. all right, lets continue. 
00:25:12,577-00:25:12,927 Elysium:  Now Im just. 
00:25:13,513-00:25:13,943 Elysium:  Now not going to go. 
00:25:14,757-00:25:16,787 DM:  Okay. right, so Sean, how are you feeling? 
00:25:14,772-00:25:14,922 Elysium:  Fine.  
00:25:14,824-00:25:17,894 Elysium:  Fine. opinion Im against Im against them all again im present. 
00:25:18,230-00:25:19,620 Elysium:  Against it, Um? 
00:25:20,326-00:25:24,756 Elysium:  Um, if he chose to go with, let it play out. Im cool with that if he. 
00:25:25,878-00:25:36,268 Elysium:  Chose option two. go get sick. im okay with that under the circumstances that we, it will never be an option again in the future no more, not another Dm and intervention on behalf of Jimothy.  
00:25:43,200-00:25:43,152 Elysium:  Yes.  
00:25:43,842-00:25:49,992 Elysium:  Yes. of this point in time that this is now a thing, because i am very much against Dm interventions, my personal opinion. 
00:25:47,733-00:25:51,363 DM:  So what is that? What does that imply then that every player gets one D, M intervention. 
00:25:51,708-00:26:04,538 DM:  Same. same. my D. M. we only ever had one D, M intervention, and it was because one player went crazy and nuked an entire city and killed everybody, so we were killed against our wishes because of that one guy, so he said, the game is over. 
00:25:51,918-00:25:52,788 DM:  Same. same.  
00:25:52,508-00:25:52,658 DM:  Same.  
00:26:02,273-00:26:03,343 Elysium:  Thats fair, Yeah. 
00:26:05,649-00:26:05,799 DM:  So?  
00:26:06,492-00:26:13,962 DM:  So? can do Dm intervention and bring you guys back, but the consequences of what happened, are still there, so even with the Dm intervention, we still had consequences from the new going off. 
00:26:13,972-00:26:31,842 Elysium:  Yeah, in my case, Ive never had it happen personally, but Ive seen it where one person is like tired of playing or like something personal became like super petty and they tried to sabotage the entire game and campaign, And so the D. M's like No, We're backtracking, this person's no longer in the game because they were intentionally trying to sabotage everything due to.  
00:26:15,300-00:26:15,153 DM:  So?  
00:26:26,825-00:26:26,975 DM:  So?  
00:26:32,414-00:26:35,884 Elysium:  X y z reasons, and theyre just being a little dick about it. 
00:26:32,590-00:26:32,740 DM:  So?  
00:26:36,764-00:26:36,914 DM:  So?  
00:26:38,182-00:26:39,492 DM:  So? what youre saying? 
00:26:41,834-00:26:45,584 DM:  I feel pretty good about what you said, I think my mind is similar to yours, Tucker? 
00:26:46,982-00:26:47,132 Gordon:  Um.  
00:26:47,835-00:26:50,465 Gordon:  Um. i personally dont dont care. 
00:26:52,197-00:26:52,747 Gordon:  Any any? 
00:26:52,266-00:26:52,416 Elysium:  Thats.  
00:26:52,303-00:26:52,453 Elysium:  Thats.  
00:26:53,358-00:26:53,508 Elysium:  Thats.  
00:26:53,429-00:26:55,979 Gordon:  Any any of the ways because I mean. 
00:26:55,950-00:26:59,100 DM:  What game are we even playing right now, Im not entirely sure i thought this was monopoly. 
00:26:57,278-00:26:57,428 Jimothy:  M.  
00:26:57,462-00:26:57,612 Jimothy:  M.  
00:26:58,500-00:26:59,600 Gordon:  No, I mean, I, I. 
00:26:59,537-00:27:00,700 Elysium:  Life, too. 
00:26:59,784-00:27:05,374 Gordon:  No, I dont want to get into this, because were already at 09:40 but I mean this is already. 
00:27:04,660-00:27:04,856 DM:  Right, right, right? 
00:27:05,738-00:27:13,928 Gordon:  Already a homebrew, and so with homebrew comes a lot of rules that are not in the core D and D books. 
00:27:15,356-00:27:16,146 Gordon:  And with? 
00:27:17,282-00:27:17,432 Gordon:  Make.  
00:27:17,521-00:27:27,351 Gordon:  Make. easy to be loosey, goosey with the rules to the point where i think when I think of homebrewer, I think of fun for the players and you customize for the players, and so. 
00:27:26,310-00:27:26,460 DM:  M.  
00:27:28,600-00:27:37,910 Gordon:  So, in my opinion, its whatever is fun for the players is unless Im involved, which im not actively involved right now. That's kind of what I said earlier, I'm not actively involved in this situation.  
00:27:35,965-00:27:36,115 Elysium:  Yeah.  
00:27:38,827-00:27:39,177 Gordon:  You know. 
00:27:39,442-00:27:40,152 Gordon:  So I. 
00:27:40,701-00:27:43,771 Elysium:  Yeah. there are consequences that will impact the team. 
00:27:41,220-00:27:43,732 Gordon:  I just, I just dont sure.  
00:27:46,697-00:27:48,207 Gordon:  Gordon does not care. 
00:27:49,339-00:27:49,489 Gordon:  Ah.  
00:27:49,570-00:27:54,000 Gordon:  Ah. will probably end up drinking himself to death in the next ah.  
00:27:54,326-00:27:58,796 Gordon:  You know couple of months, which will be ten years our time, so um? 
00:28:01,377-00:28:01,527 DM:  M.  
00:28:02,251-00:28:03,100 Elysium:  All because of Volusia. 
00:28:03,603-00:28:03,753 Jimothy:  M.  
00:28:04,695-00:28:04,845 Gordon:  So?  
00:28:05,188-00:28:08,580 Gordon:  So? my opinion is I, I do not. 
00:28:09,510-00:28:09,321 Gordon:  We are. 
00:28:09,815-00:28:11,245 Gordon:  We in homebrew and? 
00:28:11,909-00:28:22,139 Gordon:  If it was a group decision, i would say stick to core, d and D rules of no dm intervention at all, but we are not in a group and I would hold fund. 
00:28:22,998-00:28:25,668 Gordon:  For the people currently involved over.  
00:28:27,415-00:28:35,885 Gordon:  The integrity of the game as long as it doesn't involve me or the people that care if that makes sense. Hopefully I'm making some sort of sense in that.  
00:28:34,823-00:28:34,973 DM:  M.  
00:28:37,580-00:28:38,170 DM:  M. i gotta. 
00:28:37,606-00:28:40,836 Gordon:  I care about the integrity for people who care about the integrity, but. 
00:28:41,149-00:28:41,299 DM:  So?  
00:28:42,130-00:28:42,563 DM:  So? that.  
00:28:42,905-00:28:43,550 Jimothy:  M.  
00:28:42,950-00:28:42,245 Jimothy:  M.  
00:28:43,502-00:28:46,920 DM:  So? that. like were good with option two then. 
00:28:47,243-00:28:47,393 DM:  All.  
00:28:49,488-00:28:54,398 DM:  All. seems like the best option to address the situation with that. we now switch to Elysium. 
00:28:55,336-00:28:59,846 DM:  Turn ends with him staring down dr. Uter von Schmek, All right.  
00:29:01,925-00:29:02,750 DM:  Alici.  
00:29:02,743-00:29:04,230 DM:  Alici. so now we can finally get off
00:29:07,453-00:29:08,373 Elysium:  Remember what I was doing. 
00:29:18,917-00:29:19,387 Elysium:  Thats right. 
00:29:28,380-00:29:28,530 Elysium:  Yeah.  
00:29:29,540-00:29:30,730 Elysium:  Yeah. either babsey or sardine. 
00:29:35,350-00:29:35,700 Elysium:  They kind of. 
00:29:36,361-00:29:37,511 Elysium:  They a babsey voice. thats why. 
00:29:40,307-00:29:40,457 Gordon:  Mm.  
00:29:46,125-00:29:46,275 Elysium:  Yeah.  
00:29:46,400-00:29:46,154 Elysium:  Yeah.  
00:29:58,274-00:29:58,424 Gordon:  Mm.  
00:29:59,377-00:29:59,887 Elysium:  Yeah. boy.  
00:30:09,985-00:30:10,135 Elysium:  And?  
00:30:17,940-00:30:17,604 Elysium:  And? adopted.  
00:30:56,500-00:30:56,810 Elysium:  And? adopted.  
00:31:02,356-00:31:02,506 Elysium:  Ah.  
00:31:02,533-00:31:02,683 Elysium:  Ah.  
00:31:12,561-00:31:12,951 Elysium:  Ah. want to? 
00:31:14,317-00:31:15,147 Elysium:  Use going to use my stratagem.  
00:31:21,601-00:31:22,431 Elysium:  There you go. 
00:31:26,628-00:31:26,778 Elysium:  Bullshit.  
00:31:31,471-00:31:31,621 Elysium:  Bullshit.  
00:31:56,305-00:32:00,575 Elysium:  Bullshit. vaguely recall that, but dont recall who hes talking? who did that to him? 
00:32:06,244-00:32:06,594 Elysium:  Who did that? 
00:32:13,801-00:32:13,951 Elysium:  Thats.  
00:32:17,823-00:32:17,973 Jimothy:  M.  
00:32:17,945-00:32:18,950 Jimothy:  M.  
00:32:20,740-00:32:20,224 Jimothy:  M.  
00:32:20,930-00:32:21,243 Jimothy:  M. no, what? 
00:32:22,266-00:32:23,896 Jimothy:  M. no, i, what did I do? 
00:32:24,310-00:32:24,460 Elysium:  Thats.  
00:32:25,300-00:32:25,153 Elysium:  Thats.  
00:32:26,548-00:32:26,858 Elysium:  Thats. mm.  
00:32:27,370-00:32:27,520 Elysium:  Ya.  
00:32:28,334-00:32:28,484 Jimothy:  Um.  
00:32:29,288-00:32:29,438 Jimothy:  Um.  
00:32:29,867-00:32:31,177 Jimothy:  Um. remind me. 
00:32:36,979-00:32:37,209 Elysium:  Ya. mean.  
00:32:37,358-00:32:38,988 Elysium:  Ya. mean. even see them, Youre not there.  
00:32:38,343-00:32:38,493 Jimothy:  I.  
00:32:39,248-00:32:39,958 Jimothy:  I. not even there. 
00:32:40,363-00:32:40,513 Elysium:  Yeah.  
00:32:42,875-00:32:43,250 Jimothy:  Yeah.  
00:32:45,153-00:32:48,623 Elysium:  Yeah. do recall you had an unfortunate run in with the. 
00:32:49,395-00:32:50,145 Elysium:  Security that night. 
00:32:53,670-00:32:53,377 Elysium:  Its unfortunate. 
00:32:55,572-00:32:56,162 Elysium:  No, but unfortunately. 
00:33:15,231-00:33:16,210 Elysium:  No, you find him. 
00:33:22,567-00:33:26,437 Elysium:  No, he could have left them at home, I dont know what cavendish lied to us about. 
00:33:34,839-00:33:34,989 Elysium:  Anywa.  
00:33:36,406-00:33:36,556 Elysium:  Anywa.  
00:33:36,503-00:33:36,653 Elysium:  Anywa.  
00:33:40,317-00:33:40,467 Elysium:  Anywa.  
00:33:43,906-00:33:44,736 Elysium:  Anywa. be.  
00:33:45,244-00:33:49,114 Elysium:  Anywa. be. that youre lucky, your son is still alive after what he did today, he he alm. 
00:33:50,240-00:33:50,790 Elysium:  Got himself killed. 
00:33:52,449-00:34:01,399 Elysium:  Yeah, ask him who healed him and tried to actually replenish his teeth after he decided to go sexually harass mercenaries who almost killed him if it wasn't for us.  
00:34:13,445-00:34:13,595 Elysium:  Yeah.  
00:34:14,391-00:34:17,610 Elysium:  250 gold trast sandwich that you just threw on the ground. 
00:34:36,880-00:34:41,478 Elysium:  A lot talk ill of the boss this way, but I think there has been a miscommunication on that front. 
00:34:43,303-00:34:43,453 Elysium:  However.  
00:35:18,946-00:35:24,536 Elysium:  However. i said there might have been some miscommunication on that front, however, i wont hold that against you, obviously, but. 
00:35:25,508-00:35:26,178 Elysium:  Like I said. 
00:35:26,783-00:35:28,533 Elysium:  Your son here would. 
00:35:30,830-00:35:35,193 Elysium:  Probably killed today if it wasnt for lesser babysitters, if you will, i would recommend you. 
00:35:36,377-00:35:36,527 Elysium:  Teach.  
00:35:37,113-00:35:39,663 Elysium:  Teach. to sexually harass mercenaries in the future. 
00:35:51,150-00:35:51,165 Elysium:  Dulce.  
00:36:10,334-00:36:10,484 Gordon:  Mm.  
00:36:15,991-00:36:16,261 Elysium:  Dulce. threate.  
00:36:17,257-00:36:22,327 Elysium:  Dulce. threate. as well, because hes the one that set this all up I should make. 
00:36:23,353-00:36:32,143 Elysium:  Ill make him aware that youre threatening me and all those I accompany me and that I associate with, as you said, which would include include the boss, ill make sure that hes well aware. 
00:36:34,120-00:36:35,630 Elysium:  Go ahead, Ill see him today.  
00:37:05,869-00:37:06,190 Gordon:  Mm.  
00:37:08,127-00:37:13,197 Gordon:  Mm. didnt get enough time, so that means I get like that, means i get like five extra rolls.  
00:37:10,190-00:37:10,340 Jimothy:  Yeah.  
00:37:17,527-00:37:18,770 Jimothy:  Yeah. um.  
00:37:20,886-00:37:21,360 Jimothy:  When?  
00:37:23,120-00:37:25,420 Jimothy:  When? weve encountered death. 
00:37:25,425-00:37:28,255 Jimothy:  Sort of situations in the past, the? 
00:37:28,404-00:37:31,794 Jimothy:  The D M has kindly said, Are you sure? Um? 
00:37:31,969-00:37:35,279 Jimothy:  Prior to us making actions, Um, where? 
00:37:36,194-00:37:37,864 Jimothy:  Was the Are you sure in this one? 
00:37:40,224-00:37:40,374 Elysium:  And?  
00:37:41,232-00:37:43,942 Elysium:  And? sniper rifles, the three guys following.  
00:37:46,565-00:37:46,875 Jimothy:  No, no. 
00:37:47,305-00:37:47,815 Jimothy:  No, no, no. 
00:37:48,277-00:37:51,667 Jimothy:  Like, obviously, I didnt pick up on those, but like ah. 
00:37:52,866-00:37:58,456 Jimothy:  When, when theres like a deaf, sort of imminent situation coming on, I. 
00:38:00,559-00:38:01,429 Jimothy:  I ne. 
00:38:01,364-00:38:09,194 Jimothy:  I want to enter those situations and so in the past, its been like that, Are you sure and im like Oh, And so then I change course, But. 
00:38:10,160-00:38:10,310 Jimothy:  Um.  
00:38:34,210-00:38:34,360 Jimothy:  Um.  
00:38:35,890-00:38:35,239 Jimothy:  Um.  
00:39:00,714-00:39:00,864 Jimothy:  Um.  
00:39:02,278-00:39:03,268 Jimothy:  Um. good to know. 
00:39:49,462-00:39:50,172 Gordon:  Ah, my. 
00:39:55,317-00:39:55,467 Jimothy:  Man.  
00:40:26,270-00:40:27,977 Jimothy:  Man. a 19 isnt isnt good enough.  
00:41:37,625-00:41:37,775 Jimothy:  Mm.  
00:41:44,123-00:41:47,673 Jimothy:  Mm. even though he didnt he didnt see me, I mean. 
00:41:44,142-00:41:44,292 Jimothy:  Mm.  
00:41:47,968-00:41:51,798 Jimothy:  Cast any magic that that was his cue to. 
00:41:52,408-00:41:52,998 Jimothy:  Get me. 
00:42:10,870-00:42:13,700 Jimothy:  So why didnt they capture me before? Im curious. 
00:42:54,567-00:42:54,717 Jimothy:  M.  
00:42:54,696-00:42:54,846 Jimothy:  M.  
00:43:03,888-00:43:04,380 Jimothy:  M.  
00:43:05,924-00:43:06,314 Jimothy:  M. right?  
00:43:09,893-00:43:10,430 Jimothy:  Well.  
00:43:10,208-00:43:13,558 Jimothy:  Well. i mean you know Ive said this before and I say it again, hes. 
00:43:14,710-00:43:14,860 Jimothy:  Um.  
00:43:15,532-00:43:19,962 Jimothy:  Um. character that I love the most that I also want to kill the most so. 
00:43:21,209-00:43:21,839 Jimothy:  Yeah, he's 
00:43:25,101-00:43:26,811 Jimothy:  Definitely on the top of my hit list. 
00:43:45,553-00:43:46,503 Jimothy:  Well. if he kne. 
00:43:45,718-00:43:45,868 Jimothy:  Well.  
00:43:47,335-00:43:50,965 Jimothy:  It was me. I mean, he probably would have like played coy, but. 
00:43:52,135-00:43:56,645 Jimothy:  Like, why wouldnt he have arrested me, if if he knew, it was me in that moment? 
00:43:57,719-00:44:05,349 Elysium:  Probably like he said, he said he would have go to you, so he probably would have tried to make you expose yourself or do something that would justify it because you are in public. 
00:44:04,425-00:44:04,575 Jimothy:  Yeah.  
00:44:19,836-00:44:19,986 Jimothy:  Yeah.  
00:44:35,556-00:44:36,260 Elysium:  Next Tuesday. 
00:44:38,775-00:44:38,925 Gordon:  Okay.  
00:44:39,554-00:44:41,424 Gordon:  Okay. was about to say not tomorrow, right? 
00:44:39,759-00:44:39,909 Jimothy:  Yeah.  
00:44:39,829-00:44:39,979 Jimothy:  Yeah.  
00:44:43,331-00:44:44,121 Jimothy:  Yeah. days.  
00:44:45,174-00:44:46,924 Jimothy:  In a row, man. 
00:44:49,271-00:44:49,421 Elysium:  Cabin.  
00:44:53,995-00:44:54,385 Gordon:  Whens the? 
00:44:55,640-00:44:57,300 Gordon:  Whens the next cabin trip? 
00:45:01,365-00:45:03,235 Jimothy:  Yeah, I mean, Yeah, it. 
00:45:04,480-00:45:08,470 Gordon:  I shouldnt have brought that up. im sorry, especially whenever theres a hard cutoff. 
00:45:10,401-00:45:12,871 Jimothy:  Oh yeah, look at the time 3 min, right? 
00:45:12,127-00:45:13,117 Gordon:  No, actually, no. 
00:45:14,593-00:45:14,743 Gordon:  Oh.  
00:45:16,176-00:45:16,326 Gordon:  Oh.  
00:45:17,352-00:45:18,782 Gordon:  Oh. now, bye bye. 
